Conc_10uM,,Conc_20uM,,Conc_40uM,,Conc_80uM,,Conc_160uM,,Conc_320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
706.9302368,-0.00699669309,706.9302368,-0.008394855075,706.9302368,-0.009143378586,706.9302368,-0.009097650647,706.9302368,-0.008974840865,706.9302368,-0.009811914526
706.0683594,-0.005403744988,706.0683594,-0.006578491535,706.0683594,-0.007783988956,706.0683594,-0.008052457124,706.0683594,-0.007118942682,706.0683594,-0.008268798701
705.0625,-0.005049205851,705.0625,-0.005515606608,705.0625,-0.006228738464,705.0625,-0.005961336195,705.0625,-0.006726399064,705.0625,-0.007167425472
704.0563354,-0.003370802151,704.0563354,-0.004700728226,704.0563354,-0.005062408745,704.0563354,-0.004897859413,704.0563354,-0.004530149978,704.0563354,-0.005620591342
703.0498047,-0.002012313576,703.0498047,-0.003518367885,703.0498047,-0.004012063146,703.0498047,-0.004106745124,703.0498047,-0.003679898102,703.0498047,-0.004240423441
702.0429688,-0.0004474413581,702.0429688,-0.001694962964,702.0429688,-0.00164540112,702.0429688,-0.002481831005,702.0429688,-0.001962375594,702.0429688,-0.003149950644
701.0357666,0.0007720359135,701.0357666,-0.0003494752455,701.0357666,-0.001422380097,701.0357666,-0.001681606052,701.0357666,-0.001287418185,701.0357666,-0.001899648691
700.0282593,0.002087431261,700.0282593,0.000655513024,700.0282593,2.143411075E-05,700.0282593,0.0004875510349,700.0282593,7.561949315E-05,700.0282593,-0.0003236093326
699.0204468,0.002764861332,699.0204468,0.001812455244,699.0204468,0.001490246388,699.0204468,0.001509494265,699.0204468,0.001451831195,699.0204468,0.0008097686223
698.0122681,0.004624653608,698.0122681,0.002902877051,698.0122681,0.002713829977,698.0122681,0.002918200335,698.0122681,0.003011480905,698.0122681,0.002440904267
697.0037842,0.005755585618,697.0037842,0.003757585539,697.0037842,0.00356388581,697.0037842,0.004049237818,697.0037842,0.004118823446,697.0037842,0.002840130124
695.9949341,0.007523075677,695.9949341,0.006094285287,695.9949341,0.005783759058,695.9949341,0.005409260746,695.9949341,0.005905471276,695.9949341,0.004033639561
694.9857788,0.00773480814,694.9857788,0.007007178385,694.9857788,0.006651547737,694.9857788,0.006373300217,694.9857788,0.006256446708,694.9857788,0.005560022779
693.9763184,0.00885638874,693.9763184,0.007094131783,693.9763184,0.007163259666,693.9763184,0.007141812239,693.9763184,0.007658950053,693.9763184,0.006928711664
692.9664917,0.009957962669,692.9664917,0.008775237016,692.9664917,0.008140066639,692.9664917,0.007824754342,692.9664917,0.008513549343,692.9664917,0.008252178319
691.9563599,0.01171368547,691.9563599,0.009016730823,691.9563599,0.009091478772,691.9563599,0.008884738199,691.9563599,0.009640904143,691.9563599,0.008140699938
690.9458618,0.0121712843,690.9458618,0.01074781548,690.9458618,0.01032129582,690.9458618,0.00990253035,690.9458618,0.009817395359,690.9458618,0.009971815161
689.9350586,0.01250386331,689.9350586,0.0111531876,689.9350586,0.0112653086,689.9350586,0.01049546525,689.9350586,0.01081190072,689.9350586,0.009707526304
689.0684204,0.0130125992,689.0684204,0.01210987289,689.0684204,0.01154141966,689.0684204,0.01078366488,689.0684204,0.01130085625,689.0684204,0.01036840398
688.0570068,0.01625204273,688.0570068,0.01301177219,688.0570068,0.01296080276,688.0570068,0.01258422341,688.0570068,0.01281875372,688.0570068,0.01344249211
687.0452881,0.01436945423,687.0452881,0.0129150385,687.0452881,0.01233160309,687.0452881,0.01263184473,687.0452881,0.0126212379,687.0452881,0.01299256738
686.0332642,0.01449613925,686.0332642,0.01374358218,686.0332642,0.01292965282,686.0332642,0.01323254965,686.0332642,0.01305471826,686.0332642,0.01173910964
685.020874,0.01655086502,685.020874,0.01359513495,685.020874,0.01348759048,685.020874,0.01415521186,685.020874,0.01367973071,685.020874,0.01308139507
684.0081787,0.0163314864,684.0081787,0.01468990464,684.0081787,0.01443667244,684.0081787,0.01494805329,684.0081787,0.01414906047,684.0081787,0.01446482539
682.9951782,0.01607374847,682.9951782,0.01475095935,682.9951782,0.01404047012,682.9951782,0.01472316217,682.9951782,0.01409587171,682.9951782,0.01529692393
681.9818726,0.01698820665,681.9818726,0.01493516658,681.9818726,0.01515989937,681.9818726,0.01495976187,681.9818726,0.01520758867,681.9818726,0.0141478572
680.9682007,0.01703884453,680.9682007,0.01574288122,680.9682007,0.01486203168,680.9682007,0.01446166821,680.9682007,0.01564060152,680.9682007,0.01523305755
679.9542236,0.0167911537,679.9542236,0.01622511633,679.9542236,0.01584905386,679.9542236,0.01493698824,679.9542236,0.01556482445,679.9542236,0.01456495654
678.9398804,0.01727436483,678.9398804,0.01657560654,678.9398804,0.01624236815,678.9398804,0.01558135264,678.9398804,0.01552788075,678.9398804,0.01544769853
678.0702515,0.01783346571,678.0702515,0.01630060375,678.0702515,0.01637016423,678.0702515,0.01626607031,678.0702515,0.01556946617,678.0702515,0.0155709153
677.0553589,0.01928038895,677.0553589,0.01745040342,677.0553589,0.01713639125,677.0553589,0.01627743803,677.0553589,0.01665317267,677.0553589,0.01632312685
676.0401001,0.01918371022,676.0401001,0.01719983853,676.0401001,0.0167775657,676.0401001,0.01769809239,676.0401001,0.01683765091,676.0401001,0.01716092415
675.0245972,0.01789375022,675.0245972,0.0167664811,675.0245972,0.01656820998,675.0245972,0.0168143753,675.0245972,0.01617677696,675.0245972,0.01700866595
674.008728,0.01832815446,674.008728,0.0170054622,674.008728,0.01659093611,674.008728,0.01677444577,674.008728,0.01665726118,674.008728,0.01664956845
672.9925537,0.0185491927,672.9925537,0.01767870598,672.9925537,0.01738379523,672.9925537,0.01777203009,672.9925537,0.01763632521,672.9925537,0.01663162746
671.9760742,0.01838140376,671.9760742,0.01743110828,671.9760742,0.01668703742,671.9760742,0.01695447974,671.9760742,0.01735706814,671.9760742,0.01616334356
670.9592896,0.01891286671,670.9592896,0.01729033887,670.9592896,0.01743070409,670.9592896,0.01655729301,670.9592896,0.01711013913,670.9592896,0.01653699018
669.9421387,0.01876072213,669.9421387,0.01777780056,669.9421387,0.01639244892,669.9421387,0.01716461405,669.9421387,0.01793699339,669.9421387,0.01646904275
669.0700684,0.01896497235,669.0700684,0.01780735888,669.0700684,0.01729588769,669.0700684,0.01792744361,669.0700684,0.01809589192,669.0700684,0.0178219229
668.0523682,0.01972065121,668.0523682,0.01769598946,668.0523682,0.01702368632,668.0523682,0.0164789632,668.0523682,0.0170995295,668.0523682,0.01646624506
667.0343018,0.01818582416,667.0343018,0.01666710526,667.0343018,0.01540346909,667.0343018,0.01619507559,667.0343018,0.015916178,667.0343018,0.01533462573
666.0159912,0.01697587781,666.0159912,0.01559195109,666.0159912,0.01590130292,666.0159912,0.01512317732,666.0159912,0.01522195898,666.0159912,0.01486463007
